category;title;brand;modelSlug;brandSlug;price;oldPrice;quantity;photo;description;text;seo_title;seo_description;article;tact;power_hp;control_type;propulsion;track_width_mm;boat_type;floor_type;engine_type;engine_cc2;max_power;transmission;drive;front_susp;rear_susp;shocks;tires;wheels;track;starter;fuel_system;weight;brakes;length_width;cockpit;balloon_d;seats;max_hp;capacity;balloons_qty;rpm_range;fuel_cons;fuel_rec;trim ;leg_len ;fuel_tank ;dimensions;equipment ;char_warranty
"Квадроциклы>>>Вездеходы TINGER;Техника";Вездеход на шинах TINGER ARMOR;Tinger;armor;vezdehody-tinger;2340000;;0;"vezdehody-tinger/tinger-armor-main.jpg; vezdehody-tinger/tinger-armor-green.jpg; vezdehody-tinger/tinger-armor-red.jpg; vezdehody-tinger/tinger-armor-yellow.jpg";812 куб.см., 57 л.с.;Вездеход на шинах низкого давления TINGER ARMOR обеспечивает проходимость к труднодостпупным местам в любое время года и при любых погодных условиях. 8-ми колёсные вездеходы на шинах низкого давления TINGER Armor (колёсный).;;;;4;;;;;;;3 цил. 4 татный Chery SQR жидкостного охлаждения;812;57;вариатор;все колеса;;;;;;;;инжектор;800;гидравлические;;;;;;;;;;;;;55;3100*1700*1280;;2 года
"Квадроциклы>>>Вездеходы TINGER;Техника";Вездеход переломка TINGER TF4;Tinger;tf4;vezdehody-tinger;2390000;;0;"vezdehody-tinger/tinger-tf4-main.jpg; vezdehody-tinger/tinger-tf4-blue.jpg; vezdehody-tinger/tinger-tf4-orange.jpg; vezdehody-tinger/tinger-tf4-red.jpg; vezdehody-tinger/tinger-tf4-green.jpg";812 куб.см., 57 л.с.;"Вот только часть преимуществ вездехода TINGER TF4:
Самостоятельный выезд на лёд
Полноценная кабина
Отопитель салона
Постоянный полный привод с возможностью подключения блокировок
Оригинальные шины
Возможность установки баков плавучести
Скорость на воде порядка 4 км/ч
ДВС CHERY SQR372 на 57 л.с.
Трансмиссия 5ст. МКПП + вариатор
Система поворота с гиброобъёмным усилением
Рычаг блокировки рам
Откидное лобовое стекло на пневмоупорах
Возможность установки центральной подкачки колес
*Цена указана за базовую комплектацию без кунга и доп. оборудования.";;;;4;;;;;;;4 цил. 4 татный Chery SQR жидкостного охлаждения;812;57;вариатор + 5-ступенчатая раздатка;;;;;1400/650;21;;;инжектор;1400;трансмиссионный дисковый тормоз с гидроприводом;;;;;;;;;;;;;55;4260*2500*2440;;2 года
"Квадроциклы>>>Вездеходы TINGER;Техника";Гусеничный вездеход TINGER TRACK 2;Tinger;track-2;vezdehody-tinger;2500000;;0;"vezdehody-tinger/tinger-track-2-main.jpg; vezdehody-tinger/tinger-track-2-blue.jpg; vezdehody-tinger/tinger-track-2-green.jpg; vezdehody-tinger/tinger-track-2-red.jpg";812 куб.см., 57 л.с.;Гусеничный вездеход TINGER Track 2 обеспечивает проходимость к труднодостпупным местам в любое время года и при любых погодных условиях.;;;;4;;;;;;;3 цил. 4 татный Chery SQR жидкостного охлаждения;812;57;вариатор;все колеса;;;;;;500 мм;;инжектор;1100;гидравлические;;;;;;;;;;;;;55;3430*1945*1330;;2 года
"Квадроциклы>>>Квадроцикл Gladiator;Техника";Квадроцикл GLADIATOR F200 LUX;Gladiator;f200-lux;kvadrocikly-gladiator;;;0;kvadrocikly-gladiator\kvadrotsikly_gladiat.jpg;200cс, 17 л.с.,;"Квадроцикл GLADIATOR F200 LUX - ваш надежный партнер в мире приключений

Откройте для себя новый уровень свободы и возможностей с квадроциклом GLADIATOR F200lux 2025 года. Этот мощный и надёжный аппарат оснащён 200-кубовым двигателем, который обеспечит уверенную тягу и идеальное сочетание производительности и экономичности. Расход топлива составляет всего 3,2 литра на 100 км, что делает его оптимальным выбором для длительных путешествий и активного отдыха.

Особенности и преимущества GLADIATOR F200lux

Мощный двигатель: 200-кубовый мотор с воздушным охлаждением гарантирует стабильную работу в самых суровых условиях, будь то грязь, песок или крутые горные подъёмы.

Комфорт и управляемость: Адаптивная подвеска с ходом 160 мм обеспечивает плавность хода даже на сложных трассах, включая узкие лесные тропы и каменистые участки. Вес квадроцикла всего 197 кг, что существенно упрощает управление и прохождение труднопроходимых участков.

Безопасность и проходимость: Задний привод и внедорожные шины гарантируют отличное сцепление с любой поверхностью и точное прохождение поворотов. Агрессивный протектор шин и малый вес позволяют преодолевать самые сложные участки, недоступные другим транспортным средствам.

Простота обслуживания: Конструкция квадроцикла разработана с учётом простоты обслуживания и ремонта. Герметичные разъёмы и приподнятая выхлопная система позволяют безопасно пересекать водные преграды глубиной до 50 см. Светодиодные фары и гидравлические тормоза обеспечивают безопасность в тёмное время суток.


Почему выбирают GLADIATOR F200lux?

Лёгкость и универсальность: На 15% легче аналогов, что позволяет избежать проблем с проходимостью и исключает необходимость спешивания на сложных участках.

Экономичность: Низкий расход топлива и доступные запчасти делают эксплуатацию этого квадроцикла экономически выгодной.

Спортивная динамика: Быстрый старт, отличная управляемость и моментальная реакция на команды руля подарят незабываемые впечатления от каждой поездки.

Независимость: Идеально подходит для одиночных путешественников, позволяя справляться с любыми сложностями самостоятельно.

Ремонтопригодность: Простая конструкция и возможность проведения ремонта в полевых условиях делают этот квадроцикл незаменимым помощником в любых условиях.

Оптимальные критерии: нагрузка до 200 кг, двухместный, максимальная скорость 60км/ч, расход 3-5л. на 1 час, светодиодная оптика, электрозапуск, ручной запуск, фаркоп";;;;4;;;;;;;1 цил. 4 тактный воздушного охлаждения;200;17;вариатор;цепь;многорычажная;моно рычаг;Газомаслянные;;10;;;карбюратор;;гидравлические;;;;;;;;;;;;;13;185*105*122;Зеркала заднего вида, чека аварийной остановки двигателя, защита рук, ограничитель скорости, передняя багажная решетка, поворотники, передний мини бампер, клаксон, задняя багажная решетка, спинка пассажира, светдиодные фары, дисплей - скорость, передача, обороты, пробег.;1 год
"Квадроциклы>>>Квадроцикл Gladiator;Техника";Квадроцикл GLADIATOR H125LUX;Gladiator;h125-lux;kvadrocikly-gladiator;;;0;kvadrocikly-gladiator\kvadrotsikly_gladiat.jpg;125cс, 17 л.с.,;;;;;4;;;;;;;1 цил. 4 тактный воздушного охлаждения;125;9;вариатор;цепь;многорычажная;монорычаг;Газомаслянные;;10;;;карбюратор;;гидравлические;;;;;;;;;;;;;9;185*105*122;Зеркала заднего вида, чека аварийной остановки двигателя, защита рук, ограничитель скорости, передняя багажная решетка, поворотники, передний мини бампер, клаксон, задняя багажная решетка, спинка пассажира, светдиодные фары, дисплей - скорость, передача, обороты, пробег.;1 год
"Квадроциклы>>>Квадроциклы AODES;Техника";Квадроцикл AODES PATHCROSS 300L;AODES;pathcross-300l;kvadrocikly-aodes;495000;;0;"kvadrocikly-aodes\Aodes-pathcross-300L-1-GOLD.jpg; kvadrocikly-aodes\Aodes-pathcross-300L-1-GRAY.jpg; kvadrocikly-aodes\Aodes-pathcross-300L-1-GREEN.jpg; kvadrocikly-aodes\Aodes-pathcross-300L-1-ORANGE.jpg; kvadrocikly-aodes\Aodes-pathcross-300L-1.jpg; kvadrocikly-aodes\Aodes-pathcross-300L-2.jpg; kvadrocikly-aodes\Aodes-pathcross-300L-3.jpg; kvadrocikly-aodes\Aodes-pathcross-300L-4.jpg; kvadrocikly-aodes\Aodes-pathcross-300L-5.jpg";273сс, 20 л.с., двухместный;"Новинка 2026 модельного года — квадроцикл AODES Pathcross 300L.

Модель квадроцикла как для начинающих квадроциклистов, так и для дачной эксплуатации в формате выходного дня.

Двухместная модель с одноцилиндровым двигателем и моно приводом.";;;;4;;;;;;;1 цил. 4 тактный жидкостного охлаждения;273;20;вариатор;"L/H/N/R/P; 2WD";двойные А-образные рычаги;Моноамортизатор;Газомаслянные;25*8/25*10;12;;;инжектор;245;Двухдисковый спереди, однодисковый сзади;;;;;;;;;;;;;15;1940*1095*1150;Багажный отсек 3л, грузоподъемность передний багажной площадки 15 кг, задней 30 кг, спинка пассажира, приборная панель, лебедка с ситетическим тросом и тросукладчиком с усилием 907 кг, зеркала заднего вида, клаксон, поворотники, розетка 12в и USB.;2 года
"Квадроциклы>>>Квадроциклы AODES;Техника";Квадроцикл AODES PATHCROSS 525L;AODES;pathcross-525l;kvadrocikly-aodes;790000;;0;"kvadrocikly-aodes\AODES-PATHCROSS-525-5-GREY.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-4.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-5-GREEN.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-5-2.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-5-ORANGE.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-5.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-PRO-BLUE.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-PRO-RED.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-2.jpg";495сс, 38 л.с., двухместный;"Квадроцикл AODES Pathcross 525L 2026 модельного года.

Проверенная временем платформа двухместного квадроцикла с современным двигателем 495 см³, мощностью 38 л.с., с электронным впрыском топлива. 

Оснащен всем необходимым для комфортной эксплуатации и имеет продуманную и простую эргономику: багажные площадки, передний не усиленный бампер, лебедку, зеркала заднего вида, фаркоп, алюминиевые диски.

Данная модель подарит комфорт и эмоции как начинающим квадроциклистам, так и для эксплуатации в формате выходного дня и семейных выездов — все необходимое для этого уже есть на квадроцикле.";;;;4;;;;;;;1 цил. 4 тактный жидкостного охлаждения;495;38;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала";двойные А-образные рычаги;двойные А-образные рычаги;Газомаслянные;26*8/26*9;12;;;инжектор;410;двойной дисковый тормоз;;;;;;;;;;;;;20;2215*1172*1260;Электрический усилитель руля, багажный передний отсек 6л, грузоподъемность передний багажной площадки 15 кг, задней 30 кг, спинка пассажира, приборная панель, лебедка с ситетическим тросом и тросукладчиком с усилием 1500кг, задний бампер, ветрозащита рук, зеркала заднего вида, светодиодная оптика, фаркоп, клаксон, поворотники, розетка 12в и USB.;2 года
"Квадроциклы>>>Квадроциклы AODES;Техника";Квадроцикл AODES PATHCROSS 525L PRO;AODES;pathcross-525l-pro;kvadrocikly-aodes;820000;;0;"kvadrocikly-aodes\AODES-PATHCROSS-525-PRO-BLUE.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-3.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-4.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-5-GREEN.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-5-GREY.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-5-ORANGE.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-5.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-PRO-2.jpg; kvadrocikly-aodes\AODES-PATHCROSS-525-PRO-RED.jpg";495сс, 38 л.с., двухместный;"Квадроцикл AODES Pathcross 525L PRO 2026 модельного года.

Проверенная временем платформа двухместного квадроцикла с современным двигателем 495 см³, мощностью 38 л.с., с электронным впрыском топлива. 

Оснащен всем необходимым для комфортной эксплуатации и имеет продуманную и простую эргономику: багажные площадки, передний не усиленный бампер, лебедку, зеркала заднего вида, фаркоп, алюминиевые диски.

Данная модель подарит комфорт и эмоции как начинающим квадроциклистам, так и для эксплуатации в формате выходного дня и семейных выездов — все необходимое для этого уже есть на квадроцикле.";;;;4;;;;;;;1 цил. 4 тактный жидкостного охлаждения;495;38;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала";двойные А-образные рычаги;двойные А-образные рычаги;Газомаслянные;27*8/27*10;12;;;инжектор;410;двойной дисковый тормоз;;;;;;;;;;;;;20;2215*1172*1260;Электрический усилитель руля, багажный передний отсек 6л, грузоподъемность передний багажной площадки 15 кг, задней 30 кг, спинка пассажира, приборная панель, лебедка с ситетическим тросом и тросукладчиком с усилием 1500кг, задний бампер, ветрозащита рук, зеркала заднего вида, светодиодная оптика, фаркоп, клаксон, поворотники, розетка 12в и USB.;2 года
"Квадроциклы>>>Квадроциклы AODES;Техника";Квадроцикл AODES PATHCROSS 625L;AODES;pathcross-625l;kvadrocikly-aodes;855000;;0;"kvadrocikly-aodes\AODES-PATHCROSS-625-5-GREEN.jpg; kvadrocikly-aodes\AODES-PATHCROSS-625-2.jpg; kvadrocikly-aodes\AODES-PATHCROSS-625-3.jpg; kvadrocikly-aodes\AODES-PATHCROSS-625-4.jpg; kvadrocikly-aodes\AODES-PATHCROSS-625-5-GREY.jpg; kvadrocikly-aodes\AODES-PATHCROSS-625-5-ORANGE.jpg; kvadrocikly-aodes\AODES-PATHCROSS-625-5.jpg";580сс, 44 л.с., двухместный;"Новинка 2026 модельного года — квадроцикл AODES Pathcross 625L.

Оснащен всем необходимым для комфортной эксплуатации и имеет продуманную и простую эргономику: багажные площадки, передний не усиленный бампер, лебедку, зеркала заднего вида, фаркоп, алюминиевые диски.

Данная модель подарит комфорт и эмоции как начинающим квадроциклистам, так и для эксплуатации в формате выходного дня и семейных выездов — все необходимое для этого уже есть на квадроцикле.";;;;4;;;;;;;1 цил. 4 тактный жидкостного охлаждения;580;44;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала";двойные А-образные рычаги;двойные А-образные рычаги;Газомаслянные;26*8/26*10;12;;;инжектор;410;двойной дисковый тормоз;;;;;;;;;;;;;20;2215*1172*1260;Электрический усилитель руля, грузоподъемность задней багажнйо площадки 30 кг, багажный отсек (6 л), грузоподъеемность передней багажной площадки 15кг, спинка пассажира, приборная панель, лебедка с ситетическим тросом и тросукладчиком с усилием 1500кг, задний бампер, ветрозащита рук, зеркала заднего вида, светодиодная оптика, фаркоп, клаксон, поворотники, розетка 12в и USB.;2 года
"Квадроциклы>>>Квадроциклы AODES;Техника";Квадроцикл AODES PATHCROSS 625L PRO;AODES;pathcross-625l-pro;kvadrocikly-aodes;895000;;0;"kvadrocikly-aodes\AODES-PATHCROSS-625-5-ORANGE.jpg; kvadrocikly-aodes\AODES-PATHCROSS-625-2.jpg; kvadrocikly-aodes\AODES-PATHCROSS-625-3.jpg; kvadrocikly-aodes\AODES-PATHCROSS-625-4.jpg; kvadrocikly-aodes\AODES-PATHCROSS-625-5-GREEN.jpg; kvadrocikly-aodes\AODES-PATHCROSS-625-5-GREY.jpg; kvadrocikly-aodes\AODES-PATHCROSS-625-5.jpg";580сс, 44 л.с., двухместный;"Новинка 2026 модельного года — квадроцикл AODES Pathcross 625L PRO.

Оснащен всем необходимым для комфортной эксплуатации и имеет продуманную и простую эргономику: багажные площадки, передний не усиленный бампер, лебедку, зеркала заднего вида, фаркоп, алюминиевые диски.

Данная модель подарит комфорт и эмоции как начинающим квадроциклистам, так и для эксплуатации в формате выходного дня и семейных выездов — все необходимое для этого уже есть на квадроцикле.";;;;4;;;;;;;1 цил. 4 тактный жидкостного охлаждения;580;44;вариатор;"L/H/N/R/P; 2WD/4WD + блокировка переднего дифференциала";двойные А-образные рычаги;двойные А-образные рычаги;Газомаслянные;27*8/27*10;12;;;инжектор;410;двойной дисковый тормоз;;;;;;;;;;;;;20;2215*1172*1260;Электрический усилитель руля, грузоподъемность задней багажнйо площадки 30 кг, багажный отсек (6 л), грузоподъеемность передней багажной площадки 15кг, спинка пассажира, приборная панель, лебедка с ситетическим тросом и тросукладчиком с усилием 1500кг, задний бампер, ветрозащита рук, зеркала заднего вида, светодиодная оптика, фаркоп, клаксон, поворотники, розетка 12в и USB.;2 года
